record_time_tag_int,items_2_3_packed,observable_int,observable_frac,items_6_14_packed,items_15_19_packed,items_20_22_packed
1812105143,b'',2,153240204,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105153,b'',4,822164536,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105163,b'',7,504285812,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105173,b'',10,180960655,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105183,b'',12,874559402,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105193,b'',15,583978653,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105203,b'',18,297610283,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105213,b'',21,16219139,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105223,b'',23,756595612,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105233,b'',26,488260269,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105243,b'',29,241308212,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105253,b'',32,6392479,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105263,b'',34,770262718,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105273,b'',37,545488358,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105283,b'',40,340267181,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105293,b'',43,135559082,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105303,b'',45,946372986,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
